sample_id,cluster_id,cluster_name,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
10,0,high_freq_oscillation,0.41980663,0.5285381,0.50408584,0.49599797,1.0591924,1.0729479,1.2674253,1.169354,1.2108595,0.595179,0.96227807,0.4013,0.7176343,-0.36475775,0.11985861,-0.55878574,-0.9911872,-1.06752,-1.0859256,-0.86658865,-0.7772972,-0.98668593,-0.650094,0.2128862,0.3290117,0.19432102,0.3234345,0.5766502,0.9186471,0.5746156,0.8945986,0.4992989,1.0836091,1.0601842,0.56773823,0.9858734,-0.08599714,-0.40758452,-0.152975,-0.14409703,-0.1615907,-0.9702351,-0.62139654,-1.0084074,-1.036596,-0.644534,-0.5804496,-1.0658256,0.07129965,0.28743497,-0.061076358,0.4904035,0.741117,0.8543486,0.74454045,0.7833207,0.98918855,1.2968196,0.9956499,0.5555847,0.6897361,-0.63425225,0.31290177,-0.8036467,-0.6224097,-1.0485952,-1.2544298,-0.61559415,-1.1401845,-0.8678604,-0.8955295,-0.5914795,-0.5175943,-0.6969311,0.23545612,0.04112427,-0.037179656,0.51435304,1.2648039,1.1892143,0.8892428,0.88504416,0.8258638,1.4187863,0.7327396,0.52994305,0.46708643,-0.023419296,-0.41973278,-0.6259648,-0.77722996,-0.90716046,-0.7605136,-0.9832836,-0.7351102,-0.8739404,-0.66648847,-1.085657,0.023750314,0.103946544
11,0,high_freq_oscillation,0.29940304,-0.61772865,1.1127092,0.6482021,1.1821803,0.64293045,1.1826996,0.6627778,0.7088631,1.329959,0.50985515,0.40725002,0.35607636,-0.00929683,-0.35580486,-0.5086707,-0.07473716,-0.9396399,-0.9294917,-0.67864215,-0.60249007,-0.45846686,-0.45116854,-0.7726964,0.3007782,-0.2804797,0.40282407,0.31435806,0.7153502,0.9800821,1.0682187,1.1264503,1.4479555,1.0020857,0.63944715,0.80290353,0.6385737,-0.3365544,-0.04109051,-0.24787469,-0.75603807,-0.4198578,-0.9900175,-0.95918185,-1.0367293,-0.9049583,-1.105029,-1.0249232,0.106689066,-0.38068086,-0.17082526,-0.27435458,0.4012194,0.37921953,1.4022366,1.2877529,0.7904097,1.6207316,1.1270995,0.5693196,-0.2915952,0.9075933,-0.44859967,-0.7753522,-0.20690626,0.01923155,-0.45074356,-0.79466945,-0.82144785,-0.7157869,-0.6537748,-0.6502343,-0.50938046,-0.33081138,-0.2896133,0.10504872,-0.078092135,0.6132857,0.51799864,0.6030711,1.0478067,1.4074222,1.1978493,0.32461166,0.32127056,0.6831619,-0.13674483,-0.16244599,-0.17700452,-0.8575632,-0.72413695,-1.2962015,-1.1592127,-0.90293276,-1.4328004,-0.717583,-0.69597036,-0.32044974,-0.18397374,0.40924212
12,0,high_freq_oscillation,0.03756735,0.12232632,0.522886,0.8530684,0.86438346,0.96707976,0.7882698,0.77993214,0.4752122,1.2806226,0.1939009,0.13414858,-0.120466135,0.11047592,-0.48941544,-0.24383636,-0.99780905,-0.83865607,-1.2404256,-0.35029373,-1.2904273,-0.72162974,-0.45265454,-0.30565518,-0.24483754,0.02447771,0.3251769,0.49654022,1.0237554,1.5446103,0.80456406,0.5889332,0.93735754,1.6399382,0.4715918,1.0054125,0.7850428,-0.13434854,-0.04961561,0.030292464,-0.7805073,-0.893644,-1.119505,-1.3012818,-1.1795911,-1.2768141,-0.7659214,-0.8238999,-0.3015267,-0.59336114,0.22585653,0.62172115,-0.005212764,0.8883634,1.2779326,0.62191546,1.4986265,1.0707065,0.6210663,0.6500383,0.6257246,0.24311215,0.12989886,-0.55793464,-0.46286914,-1.1368085,-0.8993932,-1.2350144,-1.2205331,-0.6009836,-0.55406034,-0.55185026,-0.86833465,-0.406956,0.3005054,0.23176631,1.1255938,0.76078296,0.8721907,0.8414129,1.0339007,0.9440805,1.1347868,1.0827725,0.38236216,0.0015606494,-0.3928602,0.057341356,-0.67303014,-1.212927,-0.639176,-0.14809392,-0.9806237,-0.7473201,-0.93035346,-0.8793923,-0.41435605,-0.5732791,-0.1709303,0.096509345
13,0,high_freq_oscillation,-0.20042713,0.5487607,0.43370882,0.46335545,1.0106784,0.68536186,1.0073217,0.97606677,1.2217624,0.898159,0.5595518,0.58735,0.5121183,0.009341696,-0.39782476,-1.0117098,-1.1152959,-1.0139217,-1.1726751,-1.0499299,-0.9171529,-0.65566814,-0.6639373,-0.2838444,-0.16990893,-0.52921605,0.030232828,0.49741456,0.3716833,1.061432,1.4310368,1.3655027,0.8998093,1.3132433,0.7572944,0.4125516,0.09771176,-0.05901297,-0.3367636,-0.40710166,-0.6185968,-0.83165604,-0.81391937,-0.6396609,-0.6999415,-1.3551013,-1.5423228,-0.31261197,-0.78172606,-0.19402207,-0.22444145,-0.16893168,0.7553468,1.003893,0.7366789,0.20749506,0.83298147,1.062542,0.38889638,0.72177696,0.45363358,0.39409798,0.004146177,-0.5736532,-0.15470594,-0.7602531,-0.8742168,-1.2438226,-1.1328588,-1.2372524,-0.93333715,-0.22107917,-0.95221114,-0.79610187,0.37792718,0.12645414,0.22907309,0.954759,0.6328913,1.4819508,1.1972163,0.84344804,1.5695467,0.61404735,0.8407876,0.4907183,0.5485238,0.37339732,-0.3324189,-0.7930852,-0.6177579,-1.0993084,-0.37478626,-0.9579067,-1.0644987,-0.79432136,-1.094217,-0.77768093,0.108976185,-0.19706829
14,0,high_freq_oscillation,-0.3140733,0.41214383,0.841908,0.905765,1.1485398,0.7278637,0.57232416,1.4292026,0.7991898,0.6804997,0.9655181,0.50888914,0.23182237,0.4914993,-0.593986,-0.33980694,-0.7786579,-0.8417766,-0.53128093,-0.84148777,-0.77265906,-0.49282375,-0.75227344,-0.68155783,-0.502694,-0.52648306,0.9288956,0.2096783,0.66821563,0.7984094,1.0640336,1.2445953,1.2219841,0.69110215,0.66255766,0.5984514,0.20712522,0.51393163,-0.073018044,-0.23776318,-0.46790463,-0.4805277,-0.8906944,-1.3859043,-0.86490136,-1.1050391,-0.9347315,-0.4169987,-0.00017753422,-0.12021098,0.21924236,0.88232696,0.6651339,1.5566514,1.0792849,0.45657894,1.2228572,1.0593483,1.2194957,0.8687234,0.41668972,-0.14697894,-0.09443491,-0.5368887,-0.68783444,-0.53612065,-0.36505404,-0.8454407,-1.358639,-0.83843076,-0.5224639,-0.9175266,-0.58084595,-0.307627,-0.29889342,0.3837354,0.39351046,0.7686473,0.5483283,0.8029104,1.2105529,0.8779715,1.4404434,0.675871,0.6855644,0.6807078,-0.26750833,-0.6232987,-0.799717,-0.18828464,-0.921307,-0.12853399,-1.1480768,-0.94350195,-0.49226925,-0.24789757,-0.07162794,-0.123686865,0.05607077,0.17775808
15,0,high_freq_oscillation,0.23350832,0.08579227,0.24073707,0.68906665,0.79867005,0.81893384,1.2077836,1.265394,0.92251587,1.1990086,0.22455312,0.2839223,-0.119990654,-0.7179624,-0.42573473,-0.65468323,-0.34172693,-0.7331108,-1.2970775,-0.4376107,-0.5678378,-0.63994664,-0.7107328,-0.7176267,-0.30091327,0.3900485,0.87740934,1.0036138,0.5879369,0.5455681,1.0140774,0.46934232,1.0607924,0.8217446,0.57288325,0.03526647,0.4358126,-0.12808232,-0.5712856,-1.3199052,-0.6750235,-0.30089438,-0.44662306,-1.1339836,-1.1654713,-0.7689997,-1.0756621,-0.50237036,-0.14183837,0.24148752,0.09654623,0.31056032,0.32951316,0.5280824,0.84168833,1.0950174,1.2709302,0.70404714,1.2803764,0.58543193,0.45181632,-0.003852971,-0.759,-0.016518937,-0.29262424,-0.79709244,-0.8459282,-0.8090604,-1.468638,-1.1305274,-0.64317393,-1.1108786,-0.45257345,-0.71900797,0.07650507,0.1785588,-0.05474463,0.99220943,0.59419847,0.6910721,1.0540092,1.3344127,0.6176078,0.8142658,0.74680394,0.6088622,0.21093386,-0.20516439,-0.5902972,-0.5412167,-1.0773913,-1.772399,-0.8478345,-0.7276869,-1.663782,-1.1526446,-0.5043327,0.1310519,-0.24490987,-0.21840088
16,0,high_freq_oscillation,-0.054868933,0.66361094,0.29240748,0.4503214,0.70490235,0.66890365,1.0356685,1.466206,0.99291754,0.6800435,0.47951648,-0.1269371,0.359989,-0.18135256,-0.45507452,0.3397733,-0.706136,-1.1478916,-1.1177287,-0.64930475,-0.90016675,-1.2460593,-0.36701894,-0.6302381,0.3727381,0.38743833,0.17783688,0.9249457,0.7549484,1.1372855,1.1172314,0.74596715,0.7707772,1.1750137,0.6122616,0.39258286,-0.004804217,0.15880765,0.39844695,-0.7784864,-0.65950316,-0.4089037,-0.96889323,-0.86114323,-1.3035258,-0.78113985,-0.83228976,-0.29718894,-0.015446641,0.65027666,0.3004824,0.46940136,0.65122324,0.6701966,1.0111772,0.8961873,1.0473931,1.34028,0.5306071,1.0087326,0.85336107,0.18488997,-0.6682844,-0.46407914,-0.12457903,-0.7195546,-1.1658161,-1.1152747,-0.7476881,-0.8077915,-0.953133,-0.844639,-0.65816826,-0.5887565,0.4211888,0.092555106,0.79494244,1.0991824,1.1140692,0.80466175,1.1149575,0.9825628,0.65124375,0.8930696,0.26444706,0.75723433,0.018616207,-0.034708146,-0.2570338,-0.64473134,-0.5797414,-1.0384649,-0.71741325,-1.4026612,-0.9169884,-0.26804674,-0.9901784,-0.68952024,-0.09697563,0.053874534
17,0,high_freq_oscillation,0.10518903,0.39790413,0.67661315,1.0229889,0.97267103,0.88252497,1.2006395,1.548767,0.8562037,0.4633908,0.89918405,0.3059058,-0.5567448,0.096225105,-0.561529,-0.645319,-0.69616777,-0.8652044,-0.7769859,-1.1244844,-0.7802161,-0.89243996,-0.42114446,-0.24518466,-0.46988285,0.38921857,0.15124442,0.78305817,0.8447779,1.4329084,0.90477175,0.8950791,0.9580163,0.77507144,0.9526767,0.02878421,-0.03437217,-0.28861293,0.06478175,0.05495749,-0.6981038,-0.8832164,-0.9239852,-0.6482913,-1.2630137,-0.8381213,-0.48358718,-0.4425797,-0.31478798,0.17372137,-0.68437725,0.575025,0.3966852,0.22695659,1.0629928,1.3969053,0.9556202,1.2308632,1.3162533,1.0612433,0.9502159,0.4429488,-0.009097842,-0.7623223,-0.58749616,-0.96566814,-0.21474259,-1.0166079,-0.9629127,-0.80636597,-0.8683726,-0.2260764,-0.72743565,-0.2536512,-0.2861651,-0.2067555,0.24626419,0.63167655,0.6857853,0.7264216,0.5719432,0.96488976,0.47093818,1.0237787,0.64289093,-0.036334913,0.06523867,-0.32070297,-0.2462678,-0.16492473,-1.3183013,-0.86148596,-1.0268422,-0.7974653,-0.8909432,-1.0753162,-0.7857952,-0.7250045,0.071654156,0.0063934946
18,0,high_freq_oscillation,0.5703572,0.23294975,0.2736747,0.2359647,0.30878353,0.47966146,1.0790054,1.1314199,0.42163655,1.0242611,0.42214155,0.38605803,0.57872224,0.1110504,-0.48148972,-0.88551664,-1.4413065,-1.1381003,-1.0531605,-1.2899923,-0.9735249,-0.7915204,-0.7102444,-0.6247957,-0.13865484,0.19600612,-0.015086277,0.96392053,0.70501524,0.88710827,1.1842759,1.069839,1.2497832,0.9521627,0.52896297,0.6221284,-0.061385304,0.06429584,-0.23027954,-0.5206616,-0.70533025,-1.3971245,-1.1096183,-0.9690013,-0.93685085,-1.2179345,-0.3964341,-0.8527604,-0.0808253,0.001565855,-0.06727574,0.90425575,0.23481688,1.0518928,1.2098067,0.78362167,1.4145944,0.8699869,0.91917795,0.74486554,0.4179339,0.463553,0.20631868,-0.8062922,-0.12237532,-1.2114418,-0.55626154,-0.6258306,-1.327164,-1.0950558,-1.2131648,-0.79906803,-0.6330511,-0.07813529,0.3296687,0.6079564,0.26114452,0.580021,0.3095445,0.69238687,1.283294,1.4744962,0.55204964,0.61802256,0.61023724,0.48497888,-0.08487966,0.03216227,-0.48417196,-0.5713955,-0.5918643,-0.8940671,-1.1097182,-1.0317503,-0.9814111,-0.96072876,-0.76771784,-0.006602585,-0.08287215,-0.088644095
19,0,high_freq_oscillation,0.20908633,0.15100214,0.8381341,0.8009717,0.8175348,1.0892173,0.5276045,0.6407722,0.5378163,0.7986325,1.0868144,1.0114102,0.28647137,-0.0077480534,-0.9412479,-0.78096116,-1.032097,-1.1086086,-1.0402646,-1.1354656,-1.5279378,-0.59020287,-0.9646105,-0.35802084,0.43297356,-0.21239145,-0.4470528,0.45483956,1.0648797,1.4689575,0.6029467,1.1488839,0.824249,0.8342409,1.5059972,0.062786296,0.35785446,0.17203589,0.105425365,-0.42883158,-0.5743538,-0.9500644,-0.86426276,-1.0998125,-0.7983362,-1.0205151,-0.6630163,-0.6016868,-0.03384738,-0.14201057,-0.40531728,0.7502389,0.32118824,0.58001655,0.7309336,1.3971392,0.3561525,1.8863254,1.1493869,0.7337407,0.44175833,0.30597675,0.12460879,-0.08816788,-0.34699604,-0.68582,-0.9252269,-1.0092242,-1.0583466,-0.63168055,-0.70338637,-1.6167083,-0.34387058,-0.25361258,-0.06903654,0.07269571,0.76702875,0.9270455,0.58271265,1.0562636,0.70234144,0.575936,0.7343391,1.0544798,0.9040965,0.5548562,0.37553012,0.059797443,-0.5344646,-0.4374831,-0.5156267,-0.6697064,-0.6221284,-0.7863762,-0.84946775,-0.5286804,-0.6980354,-0.7507591,-0.30006808,-0.22347079
